version,account_id,interface_id,start_time,end_time,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,action,log_status
2,123456789012,eni-53026696,2025-01-21T22:55:38,2025-01-21T22:55:53,132.183.233.200,43.219.73.240,5641,8080,icmp,89,15307,REJECT,OK
2,123456789012,eni-94896149,2025-01-21T23:28:15,2025-01-21T23:28:31,151.26.109.239,39.38.30.71,50910,53,tcp,51,12783,REJECT,OK
2,123456789012,eni-87612122,2025-01-21T23:16:16,2025-01-21T23:16:34,246.229.83.70,81.142.62.28,58429,22,udp,49,62678,ACCEPT,OK
2,123456789012,eni-12603423,2025-01-21T23:50:25,2025-01-21T23:51:12,215.28.141.192,15.191.17.59,26633,8080,icmp,70,64926,REJECT,OK
2,123456789012,eni-25025229,2025-01-21T23:07:44,2025-01-21T23:08:18,222.225.161.230,131.68.84.164,37184,8080,icmp,17,71421,REJECT,OK
2,123456789012,eni-21962947,2025-01-21T23:15:01,2025-01-21T23:15:36,25.61.125.213,157.186.193.209,51299,8080,udp,92,42967,ACCEPT,OK
2,123456789012,eni-13511151,2025-01-21T22:53:49,2025-01-21T22:54:06,147.87.110.64,6.39.148.65,54588,22,tcp,41,70774,ACCEPT,OK
2,123456789012,eni-81041393,2025-01-21T22:58:54,2025-01-21T22:59:06,162.4.99.91,204.138.122.139,60734,443,tcp,49,60547,REJECT,OK
2,123456789012,eni-17696768,2025-01-21T23:12:01,2025-01-21T23:12:24,118.97.72.90,80.10.124.45,44352,22,udp,9,50653,REJECT,OK
2,123456789012,eni-10547021,2025-01-21T23:22:00,2025-01-21T23:22:38,70.197.221.122,139.184.78.198,61315,53,udp,26,13606,REJECT,OK
2,123456789012,eni-12507763,2025-01-21T23:28:30,2025-01-21T23:28:57,13.150.221.9,158.135.233.140,54569,80,icmp,11,26199,REJECT,OK
2,123456789012,eni-99376296,2025-01-21T22:54:15,2025-01-21T22:54:24,140.12.75.199,214.93.160.114,16273,80,icmp,40,3451,ACCEPT,OK
2,123456789012,eni-29527113,2025-01-21T23:40:58,2025-01-21T23:41:28,63.164.10.145,170.121.252.249,51006,5000,tcp,8,70235,REJECT,OK
2,123456789012,eni-61312083,2025-01-21T23:37:51,2025-01-21T23:38:27,213.79.231.131,69.164.38.249,18063,53,icmp,48,36069,REJECT,OK
2,123456789012,eni-28397194,2025-01-21T23:35:43,2025-01-21T23:35:52,158.250.24.195,188.86.158.212,10944,443,icmp,44,44237,ACCEPT,OK
2,123456789012,eni-62141973,2025-01-21T23:33:51,2025-01-21T23:34:40,68.20.171.89,174.14.57.174,21246,80,icmp,83,31190,REJECT,OK
2,123456789012,eni-79730346,2025-01-21T23:32:45,2025-01-21T23:33:17,23.203.87.179,130.96.146.123,11296,53,tcp,46,42538,REJECT,OK
2,123456789012,eni-55587800,2025-01-21T23:10:46,2025-01-21T23:11:13,103.208.201.101,126.34.64.178,32376,443,tcp,73,75804,ACCEPT,OK
2,123456789012,eni-77641182,2025-01-21T23:05:25,2025-01-21T23:05:38,151.208.205.230,31.58.140.205,43427,8080,icmp,95,35962,REJECT,OK
2,123456789012,eni-27404144,2025-01-21T23:31:19,2025-01-21T23:31:22,19.3.52.194,49.186.4.202,51385,8080,icmp,67,69648,REJECT,OK
2,123456789012,eni-58853030,2025-01-21T23:44:27,2025-01-21T23:44:32,23.61.193.40,139.54.210.115,14536,5000,icmp,33,15458,ACCEPT,OK
2,123456789012,eni-68817058,2025-01-21T22:56:30,2025-01-21T22:56:44,92.92.186.166,31.202.189.184,42149,5000,udp,42,96147,ACCEPT,OK
2,123456789012,eni-10762358,2025-01-21T23:33:19,2025-01-21T23:34:14,136.56.5.220,115.188.66.153,45420,22,icmp,3,42278,ACCEPT,OK
2,123456789012,eni-85732805,2025-01-21T23:46:56,2025-01-21T23:47:04,7.210.50.170,244.109.234.155,43959,22,udp,12,45071,REJECT,OK
2,123456789012,eni-68641389,2025-01-21T23:12:44,2025-01-21T23:13:04,47.32.137.16,116.151.224.9,56882,80,udp,31,84362,ACCEPT,OK
2,123456789012,eni-32493733,2025-01-21T23:39:23,2025-01-21T23:39:42,109.44.118.201,156.32.27.12,42088,80,tcp,63,80841,REJECT,OK
2,123456789012,eni-35447685,2025-01-21T23:15:46,2025-01-21T23:16:45,174.250.50.210,222.132.251.211,44562,22,icmp,13,10384,ACCEPT,OK
2,123456789012,eni-59171240,2025-01-21T23:21:40,2025-01-21T23:21:41,126.247.106.49,150.39.211.164,11543,5000,icmp,89,52621,REJECT,OK
2,123456789012,eni-74398773,2025-01-21T23:45:58,2025-01-21T23:46:20,166.57.2.152,41.177.127.16,53262,53,udp,81,17812,REJECT,OK
2,123456789012,eni-41467488,2025-01-21T23:39:52,2025-01-21T23:40:03,46.136.37.107,85.96.111.233,58706,8080,icmp,35,96598,ACCEPT,OK
2,123456789012,eni-96758663,2025-01-21T23:39:00,2025-01-21T23:39:42,133.21.23.172,194.129.122.217,33368,5000,udp,65,58856,REJECT,OK
2,123456789012,eni-96776150,2025-01-21T23:47:31,2025-01-21T23:47:36,93.226.192.175,82.164.228.234,12144,80,icmp,70,81073,ACCEPT,OK
2,123456789012,eni-24086344,2025-01-21T23:52:18,2025-01-21T23:53:16,150.21.97.71,244.16.195.187,38268,80,udp,81,26965,REJECT,OK
2,123456789012,eni-45485166,2025-01-21T22:55:27,2025-01-21T22:55:59,120.155.237.5,161.14.164.104,53663,53,icmp,70,16447,ACCEPT,OK
2,123456789012,eni-79602407,2025-01-21T23:48:40,2025-01-21T23:49:35,169.227.216.253,184.158.232.20,20890,53,icmp,8,1526,ACCEPT,OK
2,123456789012,eni-25901553,2025-01-21T23:12:29,2025-01-21T23:12:45,173.125.113.111,51.3.195.136,20393,8080,udp,39,54532,ACCEPT,OK
2,123456789012,eni-85263746,2025-01-21T23:45:46,2025-01-21T23:46:24,145.20.178.94,119.83.195.68,18090,443,udp,93,32426,REJECT,OK
2,123456789012,eni-63721866,2025-01-21T22:58:48,2025-01-21T22:59:05,170.69.67.116,135.81.87.57,38056,53,udp,35,72826,ACCEPT,OK
2,123456789012,eni-19439441,2025-01-21T23:52:29,2025-01-21T23:52:59,8.188.218.16,210.174.10.96,7550,8080,icmp,97,77082,ACCEPT,OK
2,123456789012,eni-63606671,2025-01-21T23:34:27,2025-01-21T23:35:13,229.98.66.166,111.9.70.159,3665,80,udp,34,31567,REJECT,OK
2,123456789012,eni-59437034,2025-01-21T23:45:46,2025-01-21T23:46:30,150.157.76.202,190.151.194.247,43143,80,tcp,26,42110,REJECT,OK
2,123456789012,eni-78603388,2025-01-21T23:14:50,2025-01-21T23:15:14,182.100.209.242,43.155.48.72,54444,53,tcp,74,70795,ACCEPT,OK
2,123456789012,eni-45866900,2025-01-21T23:08:53,2025-01-21T23:09:05,113.67.132.47,131.116.206.201,39572,80,icmp,24,80399,REJECT,OK
2,123456789012,eni-99266551,2025-01-21T23:24:05,2025-01-21T23:24:34,26.207.153.24,214.97.34.76,50531,80,icmp,4,22828,ACCEPT,OK
2,123456789012,eni-17090986,2025-01-21T23:40:39,2025-01-21T23:41:02,16.167.249.204,179.187.247.208,46891,8080,icmp,40,94321,ACCEPT,OK
2,123456789012,eni-31597889,2025-01-21T23:15:46,2025-01-21T23:15:58,155.7.243.91,29.77.61.4,41947,443,tcp,57,85584,ACCEPT,OK
2,123456789012,eni-98157206,2025-01-21T23:32:38,2025-01-21T23:33:03,41.236.57.96,82.218.225.117,30564,80,icmp,2,32557,REJECT,OK
2,123456789012,eni-58914780,2025-01-21T23:10:45,2025-01-21T23:10:51,72.54.41.247,190.146.12.74,16778,80,tcp,51,52035,REJECT,OK
2,123456789012,eni-75142302,2025-01-21T23:18:20,2025-01-21T23:19:18,47.96.13.189,41.15.112.181,6821,8080,udp,1,64701,REJECT,OK
2,123456789012,eni-29235842,2025-01-21T23:45:18,2025-01-21T23:45:40,201.193.250.96,128.169.209.62,61749,5000,tcp,62,42524,ACCEPT,OK
2,123456789012,eni-90819593,2025-01-21T23:19:30,2025-01-21T23:19:51,218.121.147.7,170.66.241.85,42869,53,udp,80,57560,ACCEPT,OK
2,123456789012,eni-39981745,2025-01-21T23:35:50,2025-01-21T23:36:18,90.89.148.198,160.82.9.125,60926,80,icmp,97,71234,ACCEPT,OK
2,123456789012,eni-67455924,2025-01-21T23:00:26,2025-01-21T23:00:48,25.47.45.188,40.148.249.14,51359,22,icmp,74,98309,REJECT,OK
2,123456789012,eni-13657505,2025-01-21T23:43:50,2025-01-21T23:44:50,58.75.215.93,10.94.200.100,20869,80,tcp,21,73043,REJECT,OK
2,123456789012,eni-26048110,2025-01-21T23:17:28,2025-01-21T23:18:26,238.134.63.41,38.57.74.238,14346,53,tcp,79,64505,REJECT,OK
2,123456789012,eni-10292805,2025-01-21T23:25:00,2025-01-21T23:25:12,139.80.163.34,85.11.74.81,43286,443,tcp,33,52499,ACCEPT,OK
2,123456789012,eni-40862326,2025-01-21T23:27:55,2025-01-21T23:28:08,82.12.46.159,2.49.43.173,11262,53,icmp,14,81868,REJECT,OK
2,123456789012,eni-76559140,2025-01-21T23:36:14,2025-01-21T23:36:19,89.201.11.186,158.249.125.174,36073,443,udp,25,59420,REJECT,OK
2,123456789012,eni-75558204,2025-01-21T23:20:06,2025-01-21T23:20:57,75.189.99.2,228.126.198.32,53751,22,udp,54,23893,REJECT,OK
2,123456789012,eni-21805008,2025-01-21T23:22:39,2025-01-21T23:22:47,78.242.225.89,49.215.32.149,30335,443,icmp,61,94244,REJECT,OK
2,123456789012,eni-15950256,2025-01-21T23:06:55,2025-01-21T23:07:18,20.231.188.124,108.71.251.52,37494,53,icmp,90,38092,ACCEPT,OK
2,123456789012,eni-51164937,2025-01-21T23:43:19,2025-01-21T23:43:51,246.156.64.116,54.71.118.82,24391,5000,icmp,93,67717,ACCEPT,OK
2,123456789012,eni-49471393,2025-01-21T23:41:49,2025-01-21T23:42:17,80.49.129.67,35.245.3.123,32555,443,tcp,33,88991,ACCEPT,OK
2,123456789012,eni-74465308,2025-01-21T23:05:57,2025-01-21T23:06:02,180.255.158.198,117.12.199.255,30515,5000,tcp,37,49071,REJECT,OK
2,123456789012,eni-47685186,2025-01-21T23:12:35,2025-01-21T23:13:04,36.21.124.47,116.65.88.8,29678,8080,udp,89,71161,ACCEPT,OK
2,123456789012,eni-84595935,2025-01-21T23:15:48,2025-01-21T23:16:29,70.232.195.251,10.89.215.147,64146,53,tcp,100,71746,ACCEPT,OK
2,123456789012,eni-56046794,2025-01-21T23:18:44,2025-01-21T23:19:06,35.106.32.143,99.206.2.110,15948,53,tcp,54,26334,ACCEPT,OK
2,123456789012,eni-63258561,2025-01-21T23:42:58,2025-01-21T23:43:28,189.250.26.52,124.86.22.140,4147,5000,tcp,72,88233,REJECT,OK
2,123456789012,eni-91074148,2025-01-21T23:42:45,2025-01-21T23:43:16,11.214.114.167,9.79.3.67,50417,5000,tcp,50,52226,ACCEPT,OK
2,123456789012,eni-59840279,2025-01-21T23:41:47,2025-01-21T23:42:19,173.80.74.109,102.235.53.90,42201,22,tcp,2,33040,REJECT,OK
2,123456789012,eni-25037508,2025-01-21T23:45:53,2025-01-21T23:46:13,191.233.91.71,33.72.228.238,32817,8080,tcp,68,12892,ACCEPT,OK
2,123456789012,eni-96212848,2025-01-21T23:03:06,2025-01-21T23:03:57,188.181.172.248,71.63.52.224,38236,80,icmp,69,110,REJECT,OK
2,123456789012,eni-31250633,2025-01-21T23:35:17,2025-01-21T23:35:54,133.161.48.139,26.150.188.254,7396,53,tcp,14,22071,REJECT,OK
2,123456789012,eni-16141428,2025-01-21T23:03:14,2025-01-21T23:03:25,187.67.38.200,190.113.77.227,27649,5000,tcp,42,65129,ACCEPT,OK
2,123456789012,eni-69514264,2025-01-21T23:33:50,2025-01-21T23:34:47,153.133.194.70,212.159.103.32,17904,5000,udp,38,59264,ACCEPT,OK
2,123456789012,eni-29857799,2025-01-21T23:15:48,2025-01-21T23:16:12,93.234.141.6,177.249.194.152,48392,5000,tcp,94,64818,ACCEPT,OK
2,123456789012,eni-79165935,2025-01-21T23:44:24,2025-01-21T23:45:04,185.45.12.160,20.201.118.70,33331,5000,icmp,71,51116,REJECT,OK
2,123456789012,eni-70537505,2025-01-21T23:02:39,2025-01-21T23:02:57,145.234.34.126,108.37.90.83,62386,22,icmp,76,66081,REJECT,OK
2,123456789012,eni-38097455,2025-01-21T23:13:09,2025-01-21T23:13:51,65.87.96.202,57.154.31.32,5573,443,tcp,48,30743,ACCEPT,OK
2,123456789012,eni-59298762,2025-01-21T23:27:55,2025-01-21T23:28:54,108.235.120.146,112.24.166.244,11927,80,udp,54,18084,ACCEPT,OK
2,123456789012,eni-75538747,2025-01-21T23:09:27,2025-01-21T23:10:02,245.69.44.151,158.175.91.246,52570,22,icmp,84,31087,REJECT,OK
2,123456789012,eni-66687462,2025-01-21T23:40:28,2025-01-21T23:41:06,232.114.80.215,22.197.93.142,11631,80,udp,53,77279,REJECT,OK
2,123456789012,eni-49633987,2025-01-21T23:24:42,2025-01-21T23:25:30,140.186.54.3,249.150.85.54,44759,22,udp,99,78521,ACCEPT,OK
2,123456789012,eni-59982388,2025-01-21T23:35:20,2025-01-21T23:35:26,31.59.234.105,175.17.203.22,60316,80,tcp,51,41539,REJECT,OK
2,123456789012,eni-97915871,2025-01-21T23:03:22,2025-01-21T23:04:18,112.81.177.74,221.159.135.218,60202,8080,udp,87,67566,ACCEPT,OK
2,123456789012,eni-16270991,2025-01-21T23:04:39,2025-01-21T23:05:12,24.55.120.169,188.81.116.23,19098,5000,icmp,21,91859,ACCEPT,OK
2,123456789012,eni-86904744,2025-01-21T23:17:48,2025-01-21T23:18:02,135.81.56.213,204.35.36.221,55419,8080,icmp,6,52695,REJECT,OK
2,123456789012,eni-93701919,2025-01-21T23:10:57,2025-01-21T23:11:00,39.176.157.53,83.150.202.125,53139,443,tcp,96,22184,REJECT,OK
2,123456789012,eni-99096015,2025-01-21T23:51:40,2025-01-21T23:52:38,60.177.100.138,255.201.149.132,1671,80,tcp,65,70744,REJECT,OK
2,123456789012,eni-83348857,2025-01-21T23:29:28,2025-01-21T23:30:23,96.93.93.104,48.136.6.21,58876,443,udp,55,44415,REJECT,OK
2,123456789012,eni-26080983,2025-01-21T23:02:57,2025-01-21T23:03:48,185.91.174.35,172.199.128.156,36610,80,tcp,76,43042,ACCEPT,OK
2,123456789012,eni-37572509,2025-01-21T23:06:07,2025-01-21T23:06:23,182.89.25.200,157.53.29.193,52416,5000,udp,16,15516,REJECT,OK
2,123456789012,eni-30510807,2025-01-21T22:54:13,2025-01-21T22:54:16,247.67.23.131,193.49.110.40,45184,443,tcp,62,80923,ACCEPT,OK
2,123456789012,eni-59754389,2025-01-21T23:51:04,2025-01-21T23:51:32,52.34.43.43,74.131.38.226,24487,8080,icmp,98,89244,ACCEPT,OK
2,123456789012,eni-53041911,2025-01-21T23:44:32,2025-01-21T23:44:40,174.169.218.78,181.229.50.21,3096,53,tcp,86,51981,REJECT,OK
2,123456789012,eni-60966858,2025-01-21T23:24:03,2025-01-21T23:24:26,228.22.107.217,113.225.210.118,21068,443,udp,79,63171,ACCEPT,OK
2,123456789012,eni-23233027,2025-01-21T23:22:18,2025-01-21T23:22:47,122.174.151.85,203.106.234.121,38265,8080,icmp,6,73838,REJECT,OK
2,123456789012,eni-60452528,2025-01-21T23:10:56,2025-01-21T23:11:33,39.180.20.176,222.37.172.146,36175,443,udp,27,3810,REJECT,OK
2,123456789012,eni-23951996,2025-01-21T23:14:17,2025-01-21T23:14:49,109.34.86.112,101.42.233.221,10706,443,udp,17,24593,ACCEPT,OK
2,123456789012,eni-56764564,2025-01-21T23:06:32,2025-01-21T23:07:00,121.83.119.130,66.154.27.142,39385,443,tcp,1,89249,ACCEPT,OK
2,123456789012,eni-93057699,2025-01-21T22:55:57,2025-01-21T22:56:25,168.223.149.148,184.92.214.93,26381,443,udp,69,35533,REJECT,OK
2,123456789012,eni-45996341,2025-01-21T22:55:22,2025-01-21T22:55:39,115.83.5.48,7.7.185.205,3674,22,icmp,71,90635,REJECT,OK
2,123456789012,eni-24320289,2025-01-21T23:20:53,2025-01-21T23:21:47,155.236.167.113,143.74.226.62,16332,8080,tcp,33,31839,ACCEPT,OK
2,123456789012,eni-23380899,2025-01-21T23:09:27,2025-01-21T23:10:27,99.128.39.198,201.129.23.91,50048,53,icmp,39,62527,ACCEPT,OK
2,123456789012,eni-73534206,2025-01-21T23:24:57,2025-01-21T23:25:11,189.131.70.162,207.186.212.83,25001,53,udp,48,64944,ACCEPT,OK
2,123456789012,eni-72474380,2025-01-21T23:09:07,2025-01-21T23:10:06,123.121.12.236,121.217.141.40,44609,53,tcp,27,85806,REJECT,OK
2,123456789012,eni-50373844,2025-01-21T23:08:01,2025-01-21T23:08:05,46.207.182.97,236.7.129.209,27815,80,tcp,81,71487,ACCEPT,OK
2,123456789012,eni-16801568,2025-01-21T23:03:01,2025-01-21T23:03:50,213.191.168.59,99.82.39.239,34885,8080,udp,17,39946,REJECT,OK
2,123456789012,eni-78271336,2025-01-21T22:56:59,2025-01-21T22:57:14,232.201.145.94,223.19.190.134,37405,80,udp,56,4650,REJECT,OK
2,123456789012,eni-77421616,2025-01-21T23:22:01,2025-01-21T23:22:15,89.104.113.180,186.109.177.186,15331,5000,icmp,7,49583,REJECT,OK
2,123456789012,eni-96050938,2025-01-21T23:44:20,2025-01-21T23:44:30,155.32.192.212,65.204.23.48,31246,5000,tcp,25,94604,ACCEPT,OK
2,123456789012,eni-96694393,2025-01-21T23:27:49,2025-01-21T23:28:27,242.52.172.239,51.231.95.112,51974,22,icmp,16,23195,REJECT,OK
2,123456789012,eni-48907806,2025-01-21T23:47:31,2025-01-21T23:48:02,10.141.73.163,223.115.192.64,15956,53,icmp,26,23581,ACCEPT,OK
2,123456789012,eni-75745714,2025-01-21T22:53:15,2025-01-21T22:53:24,186.117.119.252,130.149.79.135,60163,80,tcp,38,32349,REJECT,OK
2,123456789012,eni-88793188,2025-01-21T23:32:46,2025-01-21T23:33:40,159.39.203.28,193.45.54.226,25461,53,icmp,32,19733,ACCEPT,OK
2,123456789012,eni-12186072,2025-01-21T23:49:03,2025-01-21T23:49:24,96.208.204.209,5.66.122.255,57589,5000,tcp,80,47466,ACCEPT,OK
2,123456789012,eni-44950220,2025-01-21T23:29:06,2025-01-21T23:29:40,55.186.24.83,173.52.169.38,30404,53,icmp,4,81229,REJECT,OK
2,123456789012,eni-82169535,2025-01-21T22:58:19,2025-01-21T22:59:06,34.117.98.185,106.134.41.38,10661,8080,icmp,23,31365,ACCEPT,OK
2,123456789012,eni-27153952,2025-01-21T23:29:11,2025-01-21T23:30:10,226.186.96.57,3.122.180.124,57989,5000,tcp,77,83878,ACCEPT,OK
2,123456789012,eni-25114510,2025-01-21T23:10:45,2025-01-21T23:11:28,93.243.44.96,14.59.237.48,52290,5000,tcp,60,18383,REJECT,OK
2,123456789012,eni-22004420,2025-01-21T22:56:07,2025-01-21T22:57:05,219.148.254.40,50.26.9.221,18254,8080,udp,90,15824,ACCEPT,OK
2,123456789012,eni-91083807,2025-01-21T23:17:16,2025-01-21T23:17:33,95.248.47.17,71.245.137.46,29544,22,icmp,56,8116,ACCEPT,OK
2,123456789012,eni-39592503,2025-01-21T23:06:08,2025-01-21T23:06:55,221.228.211.131,109.247.27.84,51229,53,icmp,44,33556,ACCEPT,OK
2,123456789012,eni-17147883,2025-01-21T23:01:18,2025-01-21T23:01:55,138.81.115.66,148.121.221.218,47231,22,tcp,24,90452,REJECT,OK
2,123456789012,eni-69895589,2025-01-21T23:32:37,2025-01-21T23:33:22,67.35.45.247,159.228.23.214,33358,22,icmp,40,62484,REJECT,OK
2,123456789012,eni-63049937,2025-01-21T23:21:48,2025-01-21T23:22:06,209.69.134.41,36.13.82.104,48687,53,icmp,67,28783,ACCEPT,OK
2,123456789012,eni-86877525,2025-01-21T23:05:03,2025-01-21T23:05:17,63.134.25.63,97.56.222.199,38887,5000,udp,7,11294,REJECT,OK
2,123456789012,eni-84790382,2025-01-21T23:52:36,2025-01-21T23:53:07,193.215.32.60,32.167.115.10,25750,53,udp,96,15715,REJECT,OK
2,123456789012,eni-49476351,2025-01-21T23:12:33,2025-01-21T23:13:23,31.118.183.166,209.221.72.241,55419,5000,icmp,17,3242,ACCEPT,OK
2,123456789012,eni-42414633,2025-01-21T23:33:40,2025-01-21T23:34:29,110.56.177.120,225.26.28.217,40554,443,tcp,73,8170,ACCEPT,OK
2,123456789012,eni-21674199,2025-01-21T23:01:42,2025-01-21T23:01:58,69.152.194.170,220.175.255.93,10941,22,tcp,44,32037,REJECT,OK
2,123456789012,eni-49377440,2025-01-21T23:50:57,2025-01-21T23:51:32,233.210.26.225,75.170.47.199,36312,443,tcp,44,91894,REJECT,OK
2,123456789012,eni-83595795,2025-01-21T23:43:32,2025-01-21T23:44:09,253.193.189.166,181.185.82.241,5790,8080,udp,6,63023,ACCEPT,OK
2,123456789012,eni-98946217,2025-01-21T23:48:41,2025-01-21T23:49:18,244.27.173.72,215.78.3.168,15108,5000,tcp,8,28412,ACCEPT,OK
2,123456789012,eni-10814301,2025-01-21T23:46:22,2025-01-21T23:47:11,66.249.130.184,199.246.202.133,50646,80,udp,58,40479,ACCEPT,OK
2,123456789012,eni-99696796,2025-01-21T23:25:37,2025-01-21T23:26:36,90.108.231.207,194.219.118.223,28818,8080,tcp,76,81630,REJECT,OK
2,123456789012,eni-95695129,2025-01-21T22:59:21,2025-01-21T23:00:20,44.136.135.175,24.248.117.114,58331,80,tcp,68,96636,REJECT,OK
2,123456789012,eni-41867030,2025-01-21T23:12:47,2025-01-21T23:13:23,205.119.200.216,57.87.45.48,8469,8080,icmp,81,61554,REJECT,OK
2,123456789012,eni-31750781,2025-01-21T23:51:55,2025-01-21T23:52:21,189.103.18.119,71.219.90.141,20231,80,udp,89,13847,ACCEPT,OK
2,123456789012,eni-50153473,2025-01-21T23:52:15,2025-01-21T23:52:51,129.7.179.95,193.174.50.68,11503,53,icmp,90,93639,REJECT,OK
2,123456789012,eni-52690501,2025-01-21T23:43:40,2025-01-21T23:44:32,4.196.252.237,74.191.200.18,51816,8080,udp,64,24380,ACCEPT,OK
2,123456789012,eni-22833899,2025-01-21T23:19:02,2025-01-21T23:19:26,113.151.15.139,156.48.112.192,38101,80,udp,70,91877,ACCEPT,OK
2,123456789012,eni-45928855,2025-01-21T23:41:49,2025-01-21T23:42:02,39.211.197.110,171.57.97.142,44628,80,tcp,30,38775,REJECT,OK
2,123456789012,eni-84918092,2025-01-21T23:32:58,2025-01-21T23:33:09,120.189.208.75,43.240.65.40,50678,80,tcp,52,68893,REJECT,OK
2,123456789012,eni-15668342,2025-01-21T23:41:08,2025-01-21T23:42:02,95.224.155.45,218.231.202.179,27923,22,udp,59,24238,ACCEPT,OK
2,123456789012,eni-62006957,2025-01-21T23:50:59,2025-01-21T23:51:30,203.200.146.246,24.19.82.219,42349,8080,udp,60,11139,REJECT,OK
2,123456789012,eni-69208426,2025-01-21T22:59:28,2025-01-21T22:59:46,67.175.90.29,121.100.88.14,31014,443,icmp,42,82031,ACCEPT,OK
